text,label
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title531' IS NULL OR title LIKE '%title531%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT * FROM users WHERE username = 'user64' AND password = 'pass64',0
SELECT * FROM posts WHERE id = 9 OR '1'='1' --,1
SELECT user_id FROM sessions WHERE session_id = 'sess_87122' AND expire_date > NOW(),0
DELETE FROM posts WHERE id = 20,0
SELECT salt FROM users WHERE username = 'user85',0
SELECT salt FROM users WHERE username = 'user88',0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title63' IS NULL OR title LIKE '%title63%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT salt FROM users WHERE username = 'user100',0
SELECT user_id FROM sessions WHERE session_id = 'sess_34605' AND expire_date > NOW(),0
SELECT * FROM sessions WHERE session_id = 'sess_21417' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 11,0
SELECT * FROM posts WHERE id = 94,0
"SELECT * FROM users WHERE username = 'user51' UNION SELECT username, password FROM admins --",1
SELECT salt FROM users WHERE username = 'user58',0
"SELECT * FROM users WHERE username = 'user86' UNION SELECT username, password FROM admins --",1
SELECT * FROM posts WHERE id = 28 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass47',1
SELECT * FROM sessions WHERE session_id = 'sess_84459' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 8 OR '1'='1' --,1
"SELECT id FROM sessions WHERE session_id = 'sess_36676' UNION SELECT id, role FROM admins --",1
SELECT * FROM posts WHERE id = 40 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT * FROM users WHERE username = 'user51' UNION SELECT username, password FROM admins --",1
"SELECT id FROM sessions WHERE session_id = 'sess_14979' UNION SELECT id, role FROM admins --",1
"SELECT id FROM sessions WHERE session_id = 'sess_32733' UNION SELECT id, role FROM admins --",1
SELECT * FROM users WHERE username = 'user12' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT * FROM users WHERE username = 'user8' UNION SELECT username, password FROM admins --",1
SELECT user_id FROM sessions WHERE session_id = 'sess_73718' AND expire_date > NOW(),0
DELETE FROM posts WHERE id = 51,0
SELECT * FROM users WHERE username = 'user96' AND password = 'pass96',0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT * FROM users WHERE username = 'user20' UNION SELECT username, password FROM admins --",1
SELECT * FROM sessions WHERE session_id = 'sess_46191' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT * FROM users WHERE username = 'user21' UNION SELECT username, password FROM admins --",1
SELECT * FROM posts WHERE id = 86,0
SELECT * FROM posts WHERE id = 76 OR '1'='1' --,1
SELECT * FROM users WHERE username = 'user59' AND password = 'pass59',0
SELECT * FROM posts WHERE id = 93,0
SELECT salt FROM users WHERE username = 'user82',0
SELECT * FROM posts WHERE id = 78 OR '1'='1' --,1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass37',1
SELECT * FROM users WHERE username = 'user33' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT user_id FROM sessions WHERE session_id = 'sess_8085' AND expire_date > NOW(),0
SELECT * FROM posts WHERE id = 68,0
SELECT * FROM users WHERE username = 'user33' AND password = 'pass33',0
SELECT * FROM users WHERE username = 'user18' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user80' AND password = 'pass80',0
SELECT user_id FROM sessions WHERE session_id = 'sess_48262' AND expire_date > NOW(),0
SELECT * FROM sessions WHERE session_id = 'sess_27652' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user50' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 100,0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM posts WHERE id = 15 OR '1'='1' --,1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
"SELECT id FROM sessions WHERE session_id = 'sess_8830' UNION SELECT id, role FROM admins --",1
SELECT * FROM posts WHERE id = 99 OR '1'='1' --,1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM sessions WHERE session_id = 'sess_68298' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title628' IS NULL OR title LIKE '%title628%')
         AND ('news' IS NULL OR category_name = 'news')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title589' IS NULL OR title LIKE '%title589%')
         AND ('sports' IS NULL OR category_name = 'sports')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM posts WHERE id = 58,0
"SELECT * FROM users WHERE username = 'user86' UNION SELECT username, password FROM admins --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT * FROM posts WHERE id = 86 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT id FROM sessions WHERE session_id = 'sess_72937' UNION SELECT id, role FROM admins --",1
SELECT salt FROM users WHERE username = 'user82',0
SELECT user_id FROM sessions WHERE session_id = 'sess_68990' AND expire_date > NOW(),0
"SELECT * FROM users WHERE username = 'user68' UNION SELECT username, password FROM admins --",1
SELECT * FROM sessions WHERE session_id = 'sess_17716' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user9' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
DELETE FROM posts WHERE id = 99,0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM posts WHERE id = 100 OR '1'='1' --,1
SELECT * FROM posts WHERE id = 87 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM sessions WHERE session_id = 'sess_45510' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT id FROM sessions WHERE session_id = 'sess_73539' UNION SELECT id, role FROM admins --",1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title436' IS NULL OR title LIKE '%title436%')
         AND ('news' IS NULL OR category_name = 'news')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM sessions WHERE session_id = 'sess_76842' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title294' IS NULL OR title LIKE '%title294%')
         AND ('None' IS NULL OR category_name = 'None')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM users WHERE username = 'user71' AND password = 'pass71',0
SELECT * FROM sessions WHERE session_id = 'sess_75598' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user95' AND password = 'pass95',0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
DELETE FROM posts WHERE id = 26,0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT salt FROM users WHERE username = 'user75',0
SELECT * FROM sessions WHERE session_id = 'sess_31963' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT salt FROM users WHERE username = 'user25',0
DELETE FROM posts WHERE id = 73,0
"SELECT id FROM sessions WHERE session_id = 'sess_17813' UNION SELECT id, role FROM admins --",1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title260' IS NULL OR title LIKE '%title260%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT salt FROM users WHERE username = 'user33',0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title932' IS NULL OR title LIKE '%title932%')
         AND ('None' IS NULL OR category_name = 'None')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT salt FROM users WHERE username = 'user30',0
"SELECT id FROM sessions WHERE session_id = 'sess_72929' UNION SELECT id, role FROM admins --",1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title624' IS NULL OR title LIKE '%title624%')
         AND ('sports' IS NULL OR category_name = 'sports')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
"SELECT * FROM users WHERE username = 'user74' UNION SELECT username, password FROM admins --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT * FROM posts WHERE id = 47 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user65' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 64,0
SELECT * FROM posts WHERE id = 32 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 39,0
SELECT salt FROM users WHERE username = 'user76',0
SELECT * FROM posts WHERE id = 43,0
"SELECT id FROM sessions WHERE session_id = 'sess_29732' UNION SELECT id, role FROM admins --",1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass90',1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title951' IS NULL OR title LIKE '%title951%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM posts WHERE id = 89,0
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT id FROM sessions WHERE session_id = 'sess_47580' UNION SELECT id, role FROM admins --",1
SELECT * FROM users WHERE username = 'user29' AND password = 'pass29',0
SELECT * FROM users WHERE username = 'user10' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user79' AND password = 'pass79',0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title845' IS NULL OR title LIKE '%title845%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM users WHERE username = 'user56' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
DELETE FROM posts WHERE id = 58,0
SELECT salt FROM users WHERE username = 'user69',0
SELECT user_id FROM sessions WHERE session_id = 'sess_87530' AND expire_date > NOW(),0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title667' IS NULL OR title LIKE '%title667%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM posts WHERE id = 72,0
DELETE FROM posts WHERE id = 22,0
SELECT * FROM posts WHERE id = 100,0
SELECT * FROM users WHERE username = 'user33' AND password = 'pass33',0
SELECT salt FROM users WHERE username = 'user6',0
DELETE FROM posts WHERE id = 36,0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM sessions WHERE session_id = 'sess_63611' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT salt FROM users WHERE username = 'user14',0
SELECT salt FROM users WHERE username = 'user70',0
SELECT * FROM users WHERE username = 'user81' AND password = 'pass81',0
SELECT * FROM users WHERE username = 'user51' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass93',1
SELECT user_id FROM sessions WHERE session_id = 'sess_86506' AND expire_date > NOW(),0
DELETE FROM posts WHERE id = 100,0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title389' IS NULL OR title LIKE '%title389%')
         AND ('sports' IS NULL OR category_name = 'sports')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM users WHERE username = 'user16' AND password = 'pass16',0
DELETE FROM posts WHERE id = 64,0
SELECT * FROM posts WHERE id = 25 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT * FROM users WHERE username = 'user6' UNION SELECT username, password FROM admins --",1
SELECT * FROM posts WHERE id = 60,0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title361' IS NULL OR title LIKE '%title361%')
         AND ('None' IS NULL OR category_name = 'None')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT user_id FROM sessions WHERE session_id = 'sess_59181' AND expire_date > NOW(),0
SELECT * FROM users WHERE username = 'user80' AND password = 'pass80',0
SELECT * FROM posts WHERE id = 74 OR '1'='1' --,1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title996' IS NULL OR title LIKE '%title996%')
         AND ('news' IS NULL OR category_name = 'news')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title275' IS NULL OR title LIKE '%title275%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM posts WHERE id = 96 OR '1'='1' --,1
SELECT * FROM sessions WHERE session_id = 'sess_64077' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass72',1
"SELECT id FROM sessions WHERE session_id = 'sess_48477' UNION SELECT id, role FROM admins --",1
SELECT user_id FROM sessions WHERE session_id = 'sess_20350' AND expire_date > NOW(),0
DELETE FROM posts WHERE id = 37,0
SELECT user_id FROM sessions WHERE session_id = 'sess_82618' AND expire_date > NOW(),0
"SELECT id FROM sessions WHERE session_id = 'sess_55563' UNION SELECT id, role FROM admins --",1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass12',1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
"SELECT * FROM users WHERE username = 'user38' UNION SELECT username, password FROM admins --",1
SELECT * FROM posts WHERE id = 10 OR '1'='1' --,1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass65',1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
DELETE FROM posts WHERE id = 35,0
SELECT * FROM users WHERE username = 'user41' AND password = 'pass41',0
SELECT * FROM posts WHERE id = 40 AND (SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass27',1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass11',1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM posts WHERE id = 80,0
SELECT * FROM posts WHERE id = 98,0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title392' IS NULL OR title LIKE '%title392%')
         AND ('None' IS NULL OR category_name = 'None')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT salt FROM users WHERE username = 'user34',0
SELECT * FROM users WHERE username = 'user8' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM sessions WHERE session_id = 'sess_15460' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT user_id FROM sessions WHERE session_id = 'sess_50261' AND expire_date > NOW(),0
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass70',1
"SELECT * FROM users WHERE username = 'user59' UNION SELECT username, password FROM admins --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
SELECT * FROM users WHERE username = 'user26' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT id FROM sessions WHERE session_id = 'sess_42878' UNION SELECT id, role FROM admins --",1
SELECT * FROM sessions WHERE session_id = '' OR '1'='1' -- AND expire_date > NOW(),1
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM posts WHERE id = 43,0
SELECT salt FROM users WHERE username = 'user86',0
"SELECT title, content FROM posts UNION SELECT username, password FROM users --",1
SELECT * FROM users WHERE username = 'user72' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
DELETE FROM posts WHERE id = 23,0
SELECT * FROM posts WHERE id = 51 OR '1'='1' --,1
SELECT * FROM users WHERE username = 'user40' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM sessions WHERE session_id = 'sess_70911' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass58',1
SELECT * FROM posts WHERE id = 34,0
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title613' IS NULL OR title LIKE '%title613%')
         AND ('news' IS NULL OR category_name = 'news')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass19',1
SELECT * FROM sessions WHERE session_id = 'sess_3103' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass75',1
DELETE FROM posts WHERE id = 11,0
SELECT * FROM users WHERE username = 'user97' AND password = 'pass97',0
SELECT * FROM sessions WHERE session_id = 'sess_96734' AND (SELECT CASE WHEN (expire_date > NOW()) THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT user_id FROM sessions WHERE session_id = 'sess_50567' AND expire_date > NOW(),0
SELECT * FROM posts WHERE id = 21 OR '1'='1' --,1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title169' IS NULL OR title LIKE '%title169%')
         AND ('None' IS NULL OR category_name = 'None')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
SELECT * FROM users WHERE username = 'user20' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM users WHERE username = 'user26' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
SELECT * FROM posts WHERE id = 26,0
SELECT * FROM posts WHERE id = 58,0
SELECT * FROM users WHERE username = '' OR '1'='1' -- AND password = 'pass88',1
SELECT salt FROM users WHERE username = 'user22',0
SELECT * FROM posts WHERE id = 100,0
SELECT salt FROM users WHERE username = 'user22',0
DELETE FROM posts WHERE id = 86,0
SELECT * FROM users WHERE username = 'user10' AND (SELECT CASE WHEN (username='admin') THEN pg_sleep(5) ELSE pg_sleep(0) END),1
"SELECT title, content, creation_date, category_name, id
       FROM posts
       WHERE 1=1
         AND ('title835' IS NULL OR title LIKE '%title835%')
         AND ('tech' IS NULL OR category_name = 'tech')
         AND ('2023-01-01' IS NULL OR creation_date >= '2023-01-01')
         AND ('2023-12-31' IS NULL OR creation_date <= '2023-12-31')",0
"SELECT * FROM users WHERE username = 'user73' UNION SELECT username, password FROM admins --",1
SELECT user_id FROM sessions WHERE session_id = 'sess_14663' AND expire_date > NOW(),0
