text,label
SELECT * FROM users WHERE id = 41;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '4'='5';,1
SELECT * FROM accounts WHERE email = 'user64@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='2';,1
SELECT * FROM orders WHERE order_id = 602;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '5'='8';,1
SELECT * FROM accounts WHERE email = 'user94@example.com';,0
"SELECT * FROM orders WHERE order_id = 483 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user100@example.com';,0
SELECT name FROM employees WHERE id = 70 AND 1=1;,1
SELECT name FROM employees WHERE id = 14;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='6';,1
SELECT * FROM orders WHERE order_id = 181;,0
SELECT * FROM accounts WHERE email = 'user15@example.com';,0
"SELECT * FROM orders WHERE order_id = 591 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '2'='8';,1
SELECT name FROM employees WHERE id = 34;,0
SELECT * FROM users WHERE id = 13;,0
SELECT name FROM employees WHERE id = 23 AND 1=1;,1
SELECT * FROM users WHERE id = 1;,0
SELECT * FROM orders WHERE order_id = 999;,0
SELECT name FROM employees WHERE id = 97 AND 1=1;,1
SELECT * FROM accounts WHERE email = 'user14@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '1'='7';,1
SELECT * FROM orders WHERE order_id = 452;,0
"SELECT * FROM orders WHERE order_id = 269 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 95;,0
"SELECT * FROM orders WHERE order_id = 298 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
"SELECT * FROM orders WHERE order_id = 406 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user30@example.com';,0
"SELECT * FROM orders WHERE order_id = 382 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 87;,0
"SELECT * FROM orders WHERE order_id = 735 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 57;,0
SELECT * FROM users WHERE id = 100;,0
"SELECT * FROM orders WHERE order_id = 983 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 867;,0
"SELECT * FROM orders WHERE order_id = 709 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 309;,0
SELECT name FROM employees WHERE id = 66 AND 1=1;,1
SELECT * FROM users WHERE id = 10;,0
SELECT * FROM accounts WHERE email = 'user79@example.com';,0
"SELECT * FROM orders WHERE order_id = 768 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user23@example.com';,0
SELECT * FROM users WHERE id = 1 AND SLEEP(3);,1
SELECT name FROM employees WHERE id = 60;,0
SELECT name FROM employees WHERE id = 48 AND 1=1;,1
SELECT name FROM employees WHERE id = 76;,0
SELECT * FROM orders WHERE order_id = 438;,0
SELECT name FROM employees WHERE id = 51 AND 1=1;,1
SELECT name FROM employees WHERE id = 97;,0
SELECT name FROM employees WHERE id = 67;,0
SELECT name FROM employees WHERE id = 75 AND 1=1;,1
"SELECT * FROM orders WHERE order_id = 341 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
"SELECT * FROM orders WHERE order_id = 495 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 48;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '1'='1';,1
SELECT * FROM orders WHERE order_id = 946;,0
SELECT * FROM orders WHERE order_id = 385;,0
"SELECT * FROM orders WHERE order_id = 863 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user54@example.com';,0
SELECT * FROM orders WHERE order_id = 341;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '4'='6';,1
SELECT name FROM employees WHERE id = 36;,0
SELECT * FROM users WHERE id = 1 AND SLEEP(8);,1
SELECT name FROM employees WHERE id = 49;,0
SELECT name FROM employees WHERE id = 88 AND 1=1;,1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '3'='9';,1
"SELECT * FROM orders WHERE order_id = 118 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 9;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '1'='4';,1
SELECT * FROM users WHERE id = 89;,0
SELECT name FROM employees WHERE id = 73 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 161;,0
"SELECT * FROM orders WHERE order_id = 918 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user26@example.com';,0
SELECT * FROM accounts WHERE email = 'user91@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '8'='1';,1
SELECT name FROM employees WHERE id = 55;,0
SELECT * FROM orders WHERE order_id = 877;,0
SELECT * FROM accounts WHERE email = 'user82@example.com';,0
"SELECT * FROM orders WHERE order_id = 153 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '3'='8';,1
SELECT name FROM employees WHERE id = 41;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='5';,1
SELECT * FROM orders WHERE order_id = 737;,0
SELECT * FROM orders WHERE order_id = 854;,0
SELECT * FROM orders WHERE order_id = 691;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '1'='3';,1
SELECT * FROM orders WHERE order_id = 910;,0
"SELECT * FROM orders WHERE order_id = 879 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='10';,1
SELECT * FROM accounts WHERE email = 'user24@example.com';,0
SELECT name FROM employees WHERE id = 18 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 906;,0
SELECT name FROM employees WHERE id = 82 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 694;,0
SELECT name FROM employees WHERE id = 83 AND 1=1;,1
SELECT name FROM employees WHERE id = 45;,0
SELECT name FROM employees WHERE id = 42 AND 1=1;,1
SELECT * FROM users WHERE id = 36;,0
SELECT * FROM users WHERE id = 29;,0
"SELECT * FROM orders WHERE order_id = 492 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '8'='2';,1
SELECT name FROM employees WHERE id = 29;,0
"SELECT * FROM orders WHERE order_id = 534 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 54;,0
"SELECT * FROM orders WHERE order_id = 746 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 23;,0
SELECT * FROM users WHERE id = 75;,0
SELECT name FROM employees WHERE id = 39 AND 1=1;,1
SELECT name FROM employees WHERE id = 6;,0
SELECT name FROM employees WHERE id = 89;,0
SELECT name FROM employees WHERE id = 17;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '2'='9';,1
SELECT * FROM users WHERE id = 40;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '2'='3';,1
SELECT * FROM orders WHERE order_id = 704;,0
SELECT * FROM accounts WHERE email = 'user96@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '6'='5';,1
SELECT name FROM employees WHERE id = 21;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '8'='9';,1
SELECT * FROM orders WHERE order_id = 398;,0
SELECT * FROM users WHERE id = 88;,0
SELECT * FROM accounts WHERE email = 'user32@example.com';,0
"SELECT * FROM orders WHERE order_id = 608 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '5'='5';,1
SELECT * FROM accounts WHERE email = 'user68@example.com';,0
"SELECT * FROM orders WHERE order_id = 744 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 61 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 240;,0
SELECT * FROM users WHERE id = 76;,0
SELECT * FROM orders WHERE order_id = 914;,0
SELECT name FROM employees WHERE id = 84 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 903;,0
SELECT name FROM employees WHERE id = 61;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '4'='1';,1
SELECT * FROM users WHERE id = 5;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '3'='2';,1
SELECT * FROM users WHERE id = 99;,0
SELECT name FROM employees WHERE id = 10 AND 1=1;,1
SELECT * FROM users WHERE id = 45;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='10';,1
SELECT * FROM accounts WHERE email = 'user83@example.com';,0
"SELECT * FROM orders WHERE order_id = 952 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 876;,0
"SELECT * FROM orders WHERE order_id = 194 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 365;,0
SELECT * FROM users WHERE id = 17;,0
"SELECT * FROM orders WHERE order_id = 230 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 50;,0
SELECT * FROM orders WHERE order_id = 831;,0
SELECT name FROM employees WHERE id = 98 AND 1=1;,1
SELECT name FROM employees WHERE id = 87;,0
SELECT * FROM orders WHERE order_id = 690;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '6'='2';,1
SELECT * FROM orders WHERE order_id = 578;,0
"SELECT * FROM orders WHERE order_id = 297 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 46 AND 1=1;,1
SELECT * FROM users WHERE id = 82;,0
SELECT name FROM employees WHERE id = 75;,0
SELECT * FROM orders WHERE order_id = 779;,0
"SELECT * FROM orders WHERE order_id = 595 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 15;,0
SELECT name FROM employees WHERE id = 13 AND 1=1;,1
SELECT * FROM users WHERE id = 6;,0
SELECT name FROM employees WHERE id = 52 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 262;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '6'='7';,1
SELECT * FROM users WHERE id = 49;,0
SELECT name FROM employees WHERE id = 71 AND 1=1;,1
SELECT name FROM employees WHERE id = 58 AND 1=1;,1
"SELECT * FROM orders WHERE order_id = 750 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 38;,0
"SELECT * FROM orders WHERE order_id = 973 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 58;,0
SELECT * FROM accounts WHERE email = 'user53@example.com';,0
"SELECT * FROM orders WHERE order_id = 855 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 649;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='7';,1
SELECT * FROM accounts WHERE email = 'user31@example.com';,0
SELECT * FROM accounts WHERE email = 'user33@example.com';,0
"SELECT * FROM orders WHERE order_id = 646 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 68;,0
SELECT name FROM employees WHERE id = 81;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='7';,1
SELECT name FROM employees WHERE id = 16;,0
SELECT * FROM orders WHERE order_id = 314;,0
"SELECT * FROM orders WHERE order_id = 309 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user29@example.com';,0
SELECT * FROM orders WHERE order_id = 930;,0
SELECT * FROM accounts WHERE email = 'user73@example.com';,0
SELECT * FROM accounts WHERE email = 'user7@example.com';,0
SELECT * FROM orders WHERE order_id = 253;,0
"SELECT * FROM orders WHERE order_id = 993 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user13@example.com';,0
"SELECT * FROM orders WHERE order_id = 778 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
"SELECT * FROM orders WHERE order_id = 894 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 27;,0
SELECT name FROM employees WHERE id = 15 AND 1=1;,1
SELECT * FROM users WHERE id = 61;,0
SELECT name FROM employees WHERE id = 27;,0
"SELECT * FROM orders WHERE order_id = 837 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='8';,1
SELECT * FROM orders WHERE order_id = 577;,0
SELECT * FROM orders WHERE order_id = 973;,0
SELECT * FROM accounts WHERE email = 'user47@example.com';,0
SELECT * FROM users WHERE id = 34;,0
SELECT name FROM employees WHERE id = 27 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 342;,0
SELECT * FROM orders WHERE order_id = 426;,0
"SELECT * FROM orders WHERE order_id = 481 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE id = 14;,0
"SELECT * FROM orders WHERE order_id = 352 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='1';,1
SELECT * FROM accounts WHERE email = 'user75@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '2'='1';,1
SELECT * FROM orders WHERE order_id = 180;,0
SELECT name FROM employees WHERE id = 38 AND 1=1;,1
SELECT * FROM users WHERE id = 56;,0
SELECT * FROM orders WHERE order_id = 174;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '3'='4';,1
SELECT * FROM orders WHERE order_id = 505;,0
SELECT * FROM accounts WHERE email = 'user11@example.com';,0
SELECT name FROM employees WHERE id = 20;,0
SELECT name FROM employees WHERE id = 50 AND 1=1;,1
SELECT * FROM orders WHERE order_id = 669;,0
SELECT * FROM accounts WHERE email = 'user78@example.com';,0
SELECT * FROM users WHERE id = 20;,0
SELECT * FROM users WHERE id = 98;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '4'='9';,1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '3'='1';,1
SELECT * FROM orders WHERE order_id = 370;,0
SELECT name FROM employees WHERE id = 100 AND 1=1;,1
SELECT * FROM accounts WHERE email = 'user71@example.com';,0
SELECT name FROM employees WHERE id = 90;,0
"SELECT * FROM orders WHERE order_id = 681 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 935;,0
"SELECT * FROM orders WHERE order_id = 649 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user77@example.com';,0
SELECT name FROM employees WHERE id = 25 AND 1=1;,1
SELECT name FROM employees WHERE id = 12;,0
"SELECT * FROM orders WHERE order_id = 159 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='8';,1
SELECT name FROM employees WHERE id = 23;,0
SELECT * FROM orders WHERE order_id = 970;,0
SELECT * FROM orders WHERE order_id = 584;,0
SELECT name FROM employees WHERE id = 81 AND 1=1;,1
"SELECT * FROM orders WHERE order_id = 998 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user93@example.com';,0
"SELECT * FROM orders WHERE order_id = 285 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 462;,0
"SELECT * FROM orders WHERE order_id = 651 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user59@example.com';,0
"SELECT * FROM orders WHERE order_id = 525 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user58@example.com';,0
SELECT * FROM accounts WHERE email = 'user41@example.com';,0
"SELECT * FROM orders WHERE order_id = 876 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 172;,0
SELECT * FROM accounts WHERE email = 'user20@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='10';,1
SELECT * FROM accounts WHERE email = 'user37@example.com';,0
"SELECT * FROM orders WHERE order_id = 836 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 919;,0
SELECT * FROM accounts WHERE email = 'user66@example.com';,0
SELECT * FROM users WHERE id = 94;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='4';,1
SELECT name FROM employees WHERE id = 83;,0
"SELECT * FROM orders WHERE order_id = 156 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 8;,0
"SELECT * FROM orders WHERE order_id = 532 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 250;,0
"SELECT * FROM orders WHERE order_id = 960 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 31;,0
SELECT * FROM accounts WHERE email = 'user19@example.com';,0
"SELECT * FROM orders WHERE order_id = 588 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 43;,0
SELECT name FROM employees WHERE id = 74;,0
SELECT * FROM accounts WHERE email = 'user27@example.com';,0
"SELECT * FROM orders WHERE order_id = 405 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 120;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='9';,1
SELECT * FROM orders WHERE order_id = 907;,0
SELECT name FROM employees WHERE id = 90 AND 1=1;,1
SELECT name FROM employees WHERE id = 18;,0
"SELECT * FROM orders WHERE order_id = 537 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user61@example.com';,0
SELECT * FROM accounts WHERE email = 'user38@example.com';,0
"SELECT * FROM orders WHERE order_id = 578 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM users WHERE username = 'user' AND password = '' OR '9'='5';,1
SELECT * FROM orders WHERE order_id = 192;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '1'='9';,1
SELECT name FROM employees WHERE id = 55 AND 1=1;,1
SELECT name FROM employees WHERE id = 99 AND 1=1;,1
SELECT * FROM accounts WHERE email = 'user43@example.com';,0
SELECT * FROM orders WHERE order_id = 609;,0
SELECT name FROM employees WHERE id = 19;,0
"SELECT * FROM orders WHERE order_id = 311 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT name FROM employees WHERE id = 10;,0
SELECT * FROM users WHERE id = 35;,0
SELECT * FROM accounts WHERE email = 'user87@example.com';,0
SELECT name FROM employees WHERE id = 77 AND 1=1;,1
"SELECT * FROM orders WHERE order_id = 889 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
"SELECT * FROM orders WHERE order_id = 616 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM accounts WHERE email = 'user6@example.com';,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='9';,1
SELECT name FROM employees WHERE id = 63;,0
SELECT name FROM employees WHERE id = 47;,0
SELECT * FROM users WHERE id = 65;,0
SELECT * FROM orders WHERE order_id = 205;,0
"SELECT * FROM orders WHERE order_id = 793 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 841;,0
SELECT name FROM employees WHERE id = 39;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '2'='5';,1
SELECT * FROM orders WHERE order_id = 929;,0
SELECT name FROM employees WHERE id = 96 AND 1=1;,1
"SELECT * FROM orders WHERE order_id = 138 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 762;,0
"SELECT * FROM orders WHERE order_id = 370 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 457;,0
"SELECT * FROM orders WHERE order_id = 844 UNION ALL SELECT NULL, NULL, table_name FROM information_schema.tables;",1
SELECT * FROM orders WHERE order_id = 580;,0
SELECT name FROM employees WHERE id = 96;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '10'='3';,1
SELECT * FROM orders WHERE order_id = 681;,0
SELECT * FROM accounts WHERE email = 'user12@example.com';,0
SELECT * FROM orders WHERE order_id = 583;,0
SELECT * FROM orders WHERE order_id = 560;,0
SELECT * FROM orders WHERE order_id = 486;,0
SELECT * FROM orders WHERE order_id = 300;,0
SELECT * FROM orders WHERE order_id = 303;,0
SELECT * FROM orders WHERE order_id = 171;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '7'='6';,1
SELECT * FROM orders WHERE order_id = 282;,0
SELECT * FROM users WHERE id = 44;,0
SELECT * FROM orders WHERE order_id = 146;,0
SELECT * FROM users WHERE username = 'user' AND password = '' OR '3'='10';,1
SELECT * FROM orders WHERE order_id = 127;,0
SELECT * FROM orders WHERE order_id = 517;,0
